Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Type ID,Year
Champions Tour Asia-Pacific: Last Chance Qualifier,560,All Stages,,All Match Types,,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Upper Round 1,,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Grand Final,7577,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Lower Bracket Final,7576,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Lower Bracket Round 1,7572,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Lower Bracket Round 2,7573,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Lower Bracket Round 3,7574,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Lower Bracket Round 4,7575,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Upper Bracket Final,7571,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Upper Bracket Quarterfinals,7344,2021
Champions Tour Asia-Pacific: Last Chance Qualifier,560,Main Event,1096,Upper Bracket Semifinals,7570,2021
Champions Tour Brazil Stage 1: Challengers 1,292,All Stages,,All Match Types,,2021
Champions Tour Brazil Stage 1: Challengers 1,292,Main Event,596,Decider (A),2680,2021
Champions Tour Brazil Stage 1: Challengers 1,292,Main Event,596,Decider (B),2681,2021
Champions Tour Brazil Stage 1: Challengers 1,292,Main Event,596,Elimination (A),2678,2021
Champions Tour Brazil Stage 1: Challengers 1,292,Main Event,596,Elimination (B),2679,2021
Champions Tour Brazil Stage 1: Challengers 1,292,Main Event,596,Opening (A),2674,2021
Champions Tour Brazil Stage 1: Challengers 1,292,Main Event,596,Opening (B),2675,2021
Champions Tour Brazil Stage 1: Challengers 1,292,Main Event,596,Winner's (A),2676,2021
Champions Tour Brazil Stage 1: Challengers 1,292,Main Event,596,Winner's (B),2677,2021
Champions Tour Brazil Stage 1: Challengers 1,292,Open Qualifier,594,Round of 16,2648,2021
Champions Tour Brazil Stage 1: Challengers 1,292,Open Qualifier,594,Round of 32,2647,2021
Champions Tour Brazil Stage 1: Challengers 2,301,All Stages,,All Match Types,,2021
Champions Tour Brazil Stage 1: Challengers 2,301,Main Event,624,Decider (A),2872,2021
Champions Tour Brazil Stage 1: Challengers 2,301,Main Event,624,Decider (B),2873,2021
Champions Tour Brazil Stage 1: Challengers 2,301,Main Event,624,Elimination (A),2870,2021
Champions Tour Brazil Stage 1: Challengers 2,301,Main Event,624,Elimination (B),2871,2021
Champions Tour Brazil Stage 1: Challengers 2,301,Main Event,624,Opening (A),2865,2021
Champions Tour Brazil Stage 1: Challengers 2,301,Main Event,624,Opening (B),2867,2021
